,DateTime,Open,High,Low,Close,IO,
,2023-09-01 09:15:00+05:30,44700.1,44793.35,44676.85,44689.15,390,75
,2023-09-01 09:20:00+05:30,44689.15,44760.1,44689.15,44730.0,750,660
,2023-09-01 09:25:00+05:30,44730.0,44730.0,44704.85,44730.0,435,1020
,2023-09-01 09:30:00+05:30,44730.0,44750.0,44730.0,44744.0,60,1020
,2023-09-01 09:35:00+05:30,44744.0,44744.0,44720.0,44721.3,135,1140
,2023-09-01 09:40:00+05:30,44721.3,44733.55,44700.0,44700.0,270,1305
,2023-09-01 09:45:00+05:30,44700.0,44735.0,44700.0,44714.4,105,1335
,2023-09-01 09:50:00+05:30,44714.4,44714.4,44630.05,44640.0,270,1425
,2023-09-01 09:55:00+05:30,44640.0,44640.0,44611.75,44611.75,825,1860
,2023-09-01 10:00:00+05:30,44611.75,44611.75,44553.35,44553.35,705,2205
,2023-09-01 10:05:00+05:30,44553.35,44588.9,44536.25,44561.5,750,2805
,2023-09-01 10:10:00+05:30,44561.5,44595.25,44561.5,44591.95,735,3300
,2023-09-01 10:15:00+05:30,44590.0,44628.95,44580.3,44628.0,405,3255
,2023-09-01 10:20:00+05:30,44628.0,44650.05,44628.0,44635.8,300,3360
,2023-09-01 10:25:00+05:30,44635.8,44686.8,44635.8,44686.8,195,3675
,2023-09-01 10:30:00+05:30,44686.8,44692.85,44686.8,44692.85,30,3675
,2023-09-01 10:35:00+05:30,44692.85,44692.85,44640.0,44650.0,75,3720
,2023-09-01 10:40:00+05:30,44650.0,44700.0,44650.0,44660.0,330,3960
,2023-09-01 10:45:00+05:30,44660.0,44674.0,44641.85,44674.0,45,4005
,2023-09-01 10:50:00+05:30,44674.0,44679.0,44671.0,44679.0,45,4005
,2023-09-01 10:55:00+05:30,44679.0,44694.85,44679.0,44692.15,105,4005
,2023-09-01 11:00:00+05:30,44692.15,44761.1,44692.15,44761.05,465,4050
,2023-09-01 11:05:00+05:30,44761.05,44800.0,44738.8,44751.95,795,4815
,2023-09-01 11:10:00+05:30,44751.95,44778.25,44751.95,44756.6,75,4845
,2023-09-01 11:15:00+05:30,44756.6,44809.9,44756.6,44797.5,225,5040
,2023-09-01 11:20:00+05:30,44797.5,44804.65,44789.4,44804.65,60,5040
,2023-09-01 11:25:00+05:30,44804.65,44804.65,44757.0,44757.0,150,5145
,2023-09-01 11:30:00+05:30,44757.0,44795.95,44757.0,44769.5,120,5175
