DateTime,Open,High,Low,Close,IO
2023-07-11 11:15:00+05:30,,8420.05,8309.95,8365.0,75
2023-07-11 12:15:00+05:30,8365.0,8420.05,8420.05,8420.05,75
2023-07-11 13:15:00+05:30,8420.05,8420.05,8420.05,8420.05,75
2023-07-11 14:15:00+05:30,8420.05,8420.05,8420.05,8420.05,75
2023-07-11 15:15:00+05:30,8420.05,8420.05,8420.05,8420.05,75
2023-07-12 09:15:00+05:30,8420.05,8470.0,8200.0,8358.7375,75
2023-07-12 10:15:00+05:30,8382.475,8465.0,8465.0,8465.0,75
2023-07-12 11:15:00+05:30,8465.0,8465.0,8465.0,8465.0,75
2023-07-12 12:15:00+05:30,8465.0,8465.0,8465.0,8465.0,75
2023-07-12 13:15:00+05:30,8465.0,8465.0,8309.95,8387.475,75
2023-07-12 14:15:00+05:30,8387.475,8309.95,8309.95,8309.95,75
2023-07-12 15:15:00+05:30,8309.95,8309.95,8309.95,8309.95,75
2023-07-13 09:15:00+05:30,8309.95,8391.95,8391.95,8391.95,0
2023-07-13 10:15:00+05:30,8391.95,8391.95,8391.95,8391.95,0
2023-07-13 11:15:00+05:30,8391.95,8391.95,8391.95,8391.95,0
2023-07-13 12:15:00+05:30,8391.95,8391.95,8391.95,8391.95,0
2023-07-13 13:15:00+05:30,8391.95,8391.95,8391.95,8391.95,0
2023-07-13 14:15:00+05:30,8391.95,8391.95,8391.95,8391.95,0
2023-07-13 15:15:00+05:30,8391.95,8545.0,8391.95,8468.475,75
2023-07-14 09:15:00+05:30,8468.475,8350.05,8350.0,8350.025,75
2023-07-14 10:15:00+05:30,8350.025,8350.0,8350.0,8350.0,75
2023-07-14 11:15:00+05:30,8350.0,8350.0,8350.0,8350.0,75
2023-07-14 12:15:00+05:30,8350.0,8350.0,8350.0,8350.0,75
2023-07-14 13:15:00+05:30,8350.0,8350.0,8350.0,8350.0,75
2023-07-14 14:15:00+05:30,8350.0,8350.0,8350.0,8350.0,75
2023-07-14 15:15:00+05:30,8350.0,8358.35,8350.0,8354.175,75
2023-07-17 14:15:00+05:30,8354.175,8440.0,8429.95,8434.975,0
2023-07-17 15:15:00+05:30,8434.975,8440.0,8440.0,8440.0,0
2023-07-19 09:15:00+05:30,8440.0,8462.0,8462.0,8462.0,450
2023-07-19 10:15:00+05:30,8462.0,8462.0,8462.0,8462.0,450
2023-07-19 11:15:00+05:30,8462.0,8462.0,8462.0,8462.0,450
2023-07-19 12:15:00+05:30,8462.0,8462.0,8462.0,8462.0,450
2023-07-19 13:15:00+05:30,8462.0,8462.0,8462.0,8462.0,450
2023-07-19 14:15:00+05:30,8462.0,8485.0,8462.0,8473.5,525
2023-07-19 15:15:00+05:30,8473.5,8485.0,8471.05,8478.025,525
2023-07-20 10:15:00+05:30,8478.025,8512.7,8512.7,8512.7,450
2023-07-20 11:15:00+05:30,8512.7,8512.7,8512.7,8512.7,450
2023-07-20 12:15:00+05:30,8512.7,8512.7,8512.7,8512.7,450
2023-07-20 13:15:00+05:30,8512.7,8512.7,8512.7,8512.7,450
2023-07-20 14:15:00+05:30,8512.7,8512.7,8512.7,8512.7,450
2023-07-20 15:15:00+05:30,8512.7,8512.7,8458.9,8485.800000000001,450
2023-07-21 12:15:00+05:30,8485.8,8426.95,8426.95,8426.95,450
2023-07-21 13:15:00+05:30,8426.95,8426.95,8314.95,8370.95,450
2023-07-21 14:15:00+05:30,8370.95,8314.95,8314.95,8314.95,450
2023-07-21 15:15:00+05:30,8314.95,8436.95,8314.95,8375.95,525
2023-07-24 09:15:00+05:30,8375.95,8450.05,8404.95,8427.5,600
2023-07-24 10:15:00+05:30,8427.5,8404.95,8404.95,8404.95,600
2023-07-24 11:15:00+05:30,8404.95,8404.95,8404.95,8404.95,600
2023-07-24 12:15:00+05:30,8404.95,8404.95,8404.95,8404.95,600
2023-07-24 13:15:00+05:30,8404.95,8404.95,8404.95,8404.95,600
2023-07-24 14:15:00+05:30,8404.95,8404.95,8404.95,8404.95,600
2023-07-24 15:15:00+05:30,8404.95,8404.95,8404.95,8404.95,600
2023-07-25 09:15:00+05:30,8404.95,8408.05,8394.95,8404.775,525
2023-07-25 10:15:00+05:30,8408.05,8408.05,8408.05,8408.05,525
2023-07-25 11:15:00+05:30,8408.05,8408.05,8408.05,8408.05,525
2023-07-25 12:15:00+05:30,8408.05,8408.05,8408.05,8408.05,525
2023-07-25 13:15:00+05:30,8408.05,8408.05,8408.05,8408.05,525
2023-07-25 14:15:00+05:30,8408.05,8408.05,8408.05,8408.05,525
2023-07-25 15:15:00+05:30,8408.05,8408.05,8408.05,8408.05,525
2023-07-26 09:15:00+05:30,8408.05,8414.05,8399.95,8410.525,600
2023-07-26 10:15:00+05:30,8414.05,8415.0,8414.05,8414.525,525
2023-07-26 11:15:00+05:30,8414.525,8415.0,8415.0,8415.0,525
2023-07-26 12:15:00+05:30,8415.0,8415.0,8415.0,8415.0,525
2023-07-26 13:15:00+05:30,8415.0,8415.0,8415.0,8415.0,525
2023-07-26 14:15:00+05:30,8415.0,8415.0,8402.85,8408.925,525
2023-07-26 15:15:00+05:30,8408.925,8402.85,8402.85,8402.85,525
2023-07-27 09:15:00+05:30,8402.85,8449.95,8449.95,8449.95,525
2023-07-27 10:15:00+05:30,8449.95,8474.05,8449.95,8462.0,525
2023-07-27 11:15:00+05:30,8462.0,8474.05,8474.05,8474.05,525
2023-07-27 12:15:00+05:30,8474.05,8474.05,8474.05,8474.05,525
2023-07-27 13:15:00+05:30,8474.05,8474.05,8474.05,8474.05,525
2023-07-27 14:15:00+05:30,8474.05,8474.05,8474.05,8474.05,525
2023-07-27 15:15:00+05:30,8474.05,8474.05,8474.05,8474.05,525
2023-07-28 09:15:00+05:30,8474.05,8445.0,8445.0,8445.0,525
2023-07-28 10:15:00+05:30,8445.0,8445.0,8445.0,8445.0,525
