DateTime,Open,High,Low,Close
2023-07-11 11:30:00+05:30,,8309.95,8309.95,8309.95
2023-07-11 11:45:00+05:30,8309.95,8420.05,8309.95,8365.0
2023-07-11 12:00:00+05:30,8365.0,8420.05,8420.05,8420.05
2023-07-11 12:15:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 12:30:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 12:45:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 13:00:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 13:15:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 13:30:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 13:45:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 14:00:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 14:15:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 14:30:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 14:45:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 15:00:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-11 15:15:00+05:30,8420.05,8420.05,8420.05,8420.05
2023-07-12 09:15:00+05:30,8420.05,8420.05,8299.95,8360.0
2023-07-12 09:30:00+05:30,8360.0,8470.0,8200.0,8388.7625
2023-07-12 09:45:00+05:30,8442.525,8465.0,8465.0,8465.0
2023-07-12 10:00:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 10:15:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 10:30:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 10:45:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 11:00:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 11:15:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 11:30:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 11:45:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 12:00:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 12:15:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 12:30:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 12:45:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 13:00:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 13:15:00+05:30,8465.0,8465.0,8465.0,8465.0
2023-07-12 13:30:00+05:30,8465.0,8465.0,8309.95,8387.475
2023-07-12 13:45:00+05:30,8387.475,8309.95,8309.95,8309.95
2023-07-12 14:00:00+05:30,8309.95,8309.95,8309.95,8309.95
2023-07-12 14:15:00+05:30,8309.95,8309.95,8309.95,8309.95
2023-07-12 14:30:00+05:30,8309.95,8309.95,8309.95,8309.95
2023-07-12 14:45:00+05:30,8309.95,8309.95,8309.95,8309.95
2023-07-12 15:00:00+05:30,8309.95,8309.95,8309.95,8309.95
2023-07-12 15:15:00+05:30,8309.95,8309.95,8309.95,8309.95
2023-07-13 09:15:00+05:30,8309.95,8391.95,8391.95,8391.95
2023-07-13 09:30:00+05:30,8391.95,8391.95,8391.95,8391.95
2023-07-13 09:45:00+05:30,8391.95,8391.95,8391.95,8391.95
2023-07-13 10:00:00+05:30,8391.95,8391.95,8391.95,8391.95
2023-07-13 10:15:00+05:30,8391.95,8391.95,8391.95,8391.95
2023-07-13 10:30:00+05:30,8391.95,8391.95,8391.95,8391.95
