0,19871.225,19890.1,19850.4,19870.737500000003
1,19870.98125,19870.98125,19847.55,19854.4625
2,19862.721875000003,19864.0,19846.8,19854.25
3,19858.4859375,19858.4859375,19840.0,19847.8375
4,19853.16171875,19853.16171875,19827.9,19840.2875
5,19846.724609375,19852.9,19843.0,19845.8875
6,19846.3060546875,19859.0,19844.65,19849.6875
7,19847.99677734375,19855.0,19847.99677734375,19851.762499999997
8,19849.879638671875,19856.1,19842.8,19849.6375
9,19849.708569335937,19856.1,19838.0,19847.2875
10,19848.498034667966,19854.4,19847.0,19851.0125
11,19849.75526733398,19870.0,19849.75526733398,19859.8
12,19854.777633666992,19868.75,19854.777633666992,19864.6875
13,19859.732566833496,19869.0,19859.732566833496,19864.8375
14,19862.28503341675,19869.45,19858.05,19862.7
15,19862.492516708375,19862.492516708375,19852.1,19857.2875
16,19859.89000835419,19859.89000835419,19852.0,19855.375
17,19857.632504177094,19864.9,19853.5,19858.9875
18,19858.310002088547,19870.7,19857.7,19862.85
19,19860.580001044273,19866.8,19857.55,19861.5125
20,19861.046250522137,19928.0,19861.046250522137,19895.475
21,19878.260625261068,19949.0,19878.260625261068,19930.725
22,19904.49281263053,19933.1,19904.49281263053,19920.575
23,19912.533906315264,19940.0,19908.9,19924.95
24,19918.74195315763,19955.0,19918.74195315763,19943.725
