,DateTime,Open,High,Low,Close,Volume,6
,2023-06-28 09:15:00+05:30,1.35,1.35,1.35,1.35,0,0
,2023-06-30 09:15:00+05:30,1.35,1.35,1.35,1.35,0,0
,2023-07-04 11:15:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-04 11:30:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-04 11:45:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-04 12:00:00+05:30,20531.6,20531.6,20531.6,20531.6,40,40
,2023-07-04 12:15:00+05:30,20531.6,20531.6,20531.6,20531.6,0,40
,2023-07-04 12:30:00+05:30,20531.6,20600.0,20531.6,20600.0,40,40
,2023-07-04 12:45:00+05:30,20600.0,20600.0,20600.0,20600.0,0,40
,2023-07-04 13:00:00+05:30,20600.0,20600.0,20600.0,20600.0,0,40
,2023-07-04 13:15:00+05:30,20600.0,20650.0,20600.0,20650.0,80,80
,2023-07-04 13:30:00+05:30,20650.0,20655.0,20650.0,20655.0,40,160
,2023-07-04 13:45:00+05:30,20655.0,20655.0,20611.75,20611.75,40,120
,2023-07-04 14:00:00+05:30,20611.75,20611.75,20611.75,20611.75,0,120
,2023-07-04 14:15:00+05:30,20611.75,20611.75,20611.75,20611.75,0,120
,2023-07-04 14:30:00+05:30,20611.75,20611.75,20611.75,20611.75,0,120
,2023-07-04 14:45:00+05:30,20611.75,20611.75,20611.75,20611.75,0,120
,2023-07-04 15:00:00+05:30,20611.75,20611.75,20611.75,20611.75,0,120
,2023-07-04 15:15:00+05:30,20611.75,20611.75,20611.75,20611.75,0,120
,2023-07-05 09:15:00+05:30,20526.85,20526.85,20526.85,20526.85,0,0
,2023-07-05 10:45:00+05:30,20400.0,20400.0,20400.0,20400.0,0,80
,2023-07-05 11:00:00+05:30,20400.0,20400.0,20400.0,20400.0,0,80
,2023-07-05 11:15:00+05:30,20400.0,20400.0,20400.0,20400.0,0,80
,2023-07-05 11:30:00+05:30,20400.0,20400.0,20400.0,20400.0,0,80
,2023-07-05 11:45:00+05:30,20400.0,20400.0,20400.0,20400.0,0,80
,2023-07-05 12:00:00+05:30,20400.0,20400.0,20400.0,20400.0,0,80
,2023-07-05 12:15:00+05:30,20400.0,20400.0,20400.0,20400.0,0,80
,2023-07-05 12:30:00+05:30,20400.0,20400.0,20400.0,20400.0,0,80
,2023-07-05 12:45:00+05:30,20400.0,20400.0,20400.0,20400.0,0,80
,2023-07-05 13:00:00+05:30,20400.0,20400.0,20400.0,20400.0,0,80
